#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
  26.8000000    1.6000370695e+01    1.6000370695e+01    1.9656176554e+01    1.6000200472e+01    1.6000200472e+01    1.2356508645e+01
  27.0000000    1.6000260291e+01    1.6000260291e+01    1.9655908245e+01    1.6000106467e+01    1.6000106467e+01    1.2357435726e+01
  27.2000000    1.6000139559e+01    1.6000139559e+01    1.9655642429e+01    1.6000002225e+01    1.6000002225e+01    1.2358378145e+01
  27.4000000    1.6000011606e+01    1.6000011606e+01    1.9655371847e+01    1.5999890692e+01    1.5999890692e+01    1.2359326789e+01
  27.6000000    1.5999880159e+01    1.5999880159e+01    1.9655089498e+01    1.5999775460e+01    1.5999775460e+01    1.2360271485e+01
  27.8000000    1.5999749380e+01    1.5999749380e+01    1.9654788931e+01    1.5999660593e+01    1.5999660593e+01    1.2361201456e+01
  28.0000000    1.5999623636e+01    1.5999623636e+01    1.9654464511e+01    1.5999550407e+01    1.5999550407e+01    1.2362105841e+01
  28.2000000    1.5999507247e+01    1.5999507247e+01    1.9654111660e+01    1.5999449226e+01    1.5999449226e+01    1.2362974252e+01
  28.4000000    1.5999404210e+01    1.5999404210e+01    1.9653727049e+01    1.5999361121e+01    1.5999361121e+01    1.2363797340e+01
  28.6000000    1.5999317948e+01    1.5999317948e+01    1.9653308744e+01    1.5999289666e+01    1.5999289666e+01    1.2364567313e+01
  28.8000000    1.5999251079e+01    1.5999251079e+01    1.9652856293e+01    1.5999237718e+01    1.5999237718e+01    1.2365278389e+01
  29.0000000    1.5999205239e+01    1.5999205239e+01    1.9652370762e+01    1.5999207241e+01    1.5999207241e+01    1.2365927133e+01
  29.2000000    1.5999180973e+01    1.5999180973e+01    1.9651854701e+01    1.5999199191e+01    1.5999199191e+01    1.2366512661e+01
  29.4000000    1.5999177691e+01    1.5999177691e+01    1.9651312053e+01    1.5999213463e+01    1.5999213463e+01    1.2367036681e+01
  29.6000000    1.5999193709e+01    1.5999193709e+01    1.9650748000e+01    1.5999248901e+01    1.5999248901e+01    1.2367503373e+01
  29.8000000    1.5999226367e+01    1.5999226367e+01    1.9650168754e+01    1.5999303373e+01    1.5999303373e+01    1.2367919104e+01
  30.0000000    1.5999272205e+01    1.5999272205e+01    1.9649581290e+01    1.5999373899e+01    1.5999373899e+01    1.2368291997e+01
  30.2000000    1.5999327210e+01    1.5999327210e+01    1.9648993045e+01    1.5999456822e+01    1.5999456822e+01    1.2368631396e+01
  30.4000000    1.5999387076e+01    1.5999387076e+01    1.9648411581e+01    1.5999548007e+01    1.5999548007e+01    1.2368947242e+01
  30.6000000    1.5999447502e+01    1.5999447502e+01    1.9647844231e+01    1.5999643055e+01    1.5999643055e+01    1.2369249439e+01
