#       time         integral Re         integral Im         integral Re         integral Im
#       r =            16.000000           16.000000           32.000000           32.000000
  12.9000000   -7.5768007138e-05   -1.8186005117e-20    1.8917554948e-04   -1.0377864180e-19
  13.0000000   -8.7016185123e-05   -1.1053572113e-19    3.6637799481e-04   -4.6048716162e-20
  13.1000000   -9.9929625347e-05   -9.3546853730e-20    5.3569470292e-04   -2.6904192325e-20
  13.2000000   -1.1449885265e-04   -1.0006422799e-19    6.9168839589e-04    1.1612208802e-20
  13.3000000   -1.3074212007e-04   -1.4602617800e-19    8.2946234314e-04   -3.9405297470e-20
  13.4000000   -1.4869750906e-04   -1.1609338407e-19    9.4483327318e-04    3.2157643857e-20
  13.5000000   -1.6841101585e-04   -8.7713907589e-20    1.0344630935e-03    7.3958712030e-21
  13.6000000   -1.8992257735e-04   -1.1103013941e-19    1.0959370180e-03    4.7267569813e-21
  13.7000000   -2.1325007830e-04   -9.5012970506e-20    1.1277951118e-03    9.0799055494e-20
  13.8000000   -2.3837439713e-04   -8.2618679170e-20    1.1295105782e-03   -4.5503308829e-20
  13.9000000   -2.6522671164e-04   -1.1606402024e-19    1.1014302788e-03   -4.9368137894e-21
  14.0000000   -2.9367500095e-04   -1.5352536156e-19    1.0446771123e-03   -2.8356609396e-20
  14.1000000   -3.2351474313e-04   -8.8186272453e-20    9.6102388048e-04   -1.6443511341e-19
  14.2000000   -3.5446348827e-04   -3.4901007761e-20    8.5274983293e-04   -5.4567509520e-20
  14.3000000   -3.8615973214e-04   -4.4777116128e-20    7.2249152859e-04   -5.0618231915e-20
  14.4000000   -4.1816715847e-04   -5.6751072906e-20    5.7309967298e-04    5.7590123354e-20
  14.5000000   -4.4997995539e-04   -6.9025859777e-20    4.0750859168e-04   -1.5447356025e-19
  14.6000000   -4.8103405299e-04   -7.1048977394e-20    2.2862762790e-04    7.3926137549e-20
  14.7000000   -5.1072182651e-04   -6.7067666739e-20    3.9253959944e-05   -7.8268353838e-20
  14.8000000   -5.3840873626e-04   -4.1997034345e-20   -1.5798596489e-04   -8.4904319878e-20
  14.9000000   -5.6345043145e-04   -4.3504969128e-20   -3.6066545041e-04   -7.5423827403e-20
  15.0000000   -5.8521209137e-04   -4.8010103679e-20   -5.6656236258e-04   -9.6018814273e-20
  15.1000000   -6.0308750076e-04   -5.5338751064e-20   -7.7364293757e-04    6.2446845080e-21
  15.2000000   -6.1651789105e-04   -3.4843809624e-20   -9.8002410523e-04    7.1405199794e-20
  15.3000000   -6.2500940960e-04   -2.9202927815e-20   -1.1839242910e-03   -1.4216799070e-20
  15.4000000   -6.2814879182e-04   -4.2067814020e-20   -1.3836077912e-03   -2.5187270401e-19
  15.5000000   -6.2561691103e-04    3.2304750688e-20   -1.5773272659e-03   -1.1422905392e-19
  15.6000000   -6.1720039510e-04   -1.9617216924e-20   -1.7632709248e-03   -5.6926987812e-20
  15.7000000   -6.0280055620e-04   -4.3363447084e-20   -1.9395206241e-03   -7.3920540610e-20
  15.8000000   -5.8243899818e-04   -4.6845984728e-20   -2.1040231110e-03   -6.2253320066e-20
  15.9000000   -5.5626086827e-04   -8.2557219298e-20   -2.2545823160e-03   -2.8448379305e-20
  16.0000000   -5.2453556745e-04    2.3492428454e-21   -2.3888730027e-03    6.3085757653e-21
  16.1000000   -4.8765426493e-04   -5.5234040961e-20   -2.5044806652e-03   -1.9258465833e-19
  16.2000000   -4.4612459111e-04    3.0432138114e-20   -2.5989670936e-03   -1.6724735017e-19
  16.3000000   -4.0056234152e-04   -5.0256288275e-20   -2.6699550461e-03    4.8833867457e-20
  16.4000000   -3.5167977059e-04    6.1597702984e-20   -2.7152337329e-03   -5.1456141420e-20
  16.5000000   -3.0027188090e-04    2.3169632154e-20   -2.7328730318e-03    8.1952539486e-20
  16.6000000   -2.4720040412e-04    7.5556820346e-21   -2.7213427634e-03    3.7526243101e-20
  16.7000000   -1.9337705513e-04    4.4158201768e-20   -2.6796310736e-03   -1.7061299036e-19
  16.8000000   -1.3974433233e-04   -5.0112473485e-20   -2.6073549670e-03    1.5140453494e-19
  16.9000000   -8.7255305300e-05    2.2866525234e-21   -2.5048470668e-03   -5.6469772636e-20
  17.0000000   -3.6853253086e-05   -9.7729325452e-20   -2.3732159619e-03   -6.7260979333e-20
  17.1000000    1.0548091721e-05   -1.6650929163e-20   -2.2143745451e-03    1.3044463721e-19
  17.2000000    5.4083502980e-05    2.0426366677e-20   -2.0310276849e-03    1.0146934081e-19
  17.3000000    9.2953026971e-05    1.5063707693e-20   -1.8266254003e-03   -4.0488016847e-21
  17.4000000    1.2644216422e-04   -3.5164840106e-20   -1.6052752316e-03    1.8489320193e-20
  17.5000000    1.5393400613e-04    2.4842120439e-21   -1.3716138962e-03    8.9638468805e-20
  17.6000000    1.7492107187e-04   -3.1934912657e-20   -1.1306568364e-03    3.1480511126e-20
  17.7000000    1.8901412683e-04   -2.0406106181e-20   -8.8762363619e-04   -8.7176859907e-20
  17.8000000    1.9594755843e-04   -3.3262548498e-20   -6.4774444865e-04   -8.8111920247e-21
  17.9000000    1.9558187313e-04    7.3373211166e-20   -4.1606787412e-04    6.2044351280e-20
  18.0000000    1.8790271884e-04    3.9503178193e-20   -1.9727573866e-04   -5.1725244131e-20
  18.1000000    1.7302305324e-04   -1.7367290001e-20    4.4855065695e-06    1.4692007997e-19
  18.2000000    1.5117586859e-04    3.4487473072e-20    1.8574749740e-04    6.1703407177e-20
  18.3000000    1.2270697188e-04    1.5141103743e-20    3.4383242055e-04    6.4807903936e-21
  18.4000000    8.8067343362e-05    5.3044636669e-20    4.7692694043e-04    2.4483875037e-19
  18.5000000    4.7802824214e-05    1.5042143190e-20    5.8411754065e-04    8.9215474624e-20
  18.6000000    2.5447693466e-06   -3.5334910565e-21    6.6538546800e-04    1.6722504574e-19
  18.7000000   -4.7002201642e-05    6.5604388672e-20    7.2156802070e-04    1.0821919935e-19
  18.8000000   -1.0007495477e-04    6.2848196495e-20    7.5427919906e-04   -3.5376190140e-20
  18.9000000   -1.5586425778e-04    1.0900901320e-19    7.6579177821e-04    1.1542067698e-19
  19.0000000   -2.1352693597e-04    6.3959217922e-20    7.5890690121e-04   -2.8315521502e-21
  19.1000000   -2.7220137890e-04    6.0311056239e-20    7.3680413592e-04   -4.5340888428e-20
  19.2000000   -3.3102000550e-04    1.0209775506e-19    7.0287913242e-04    5.3521321897e-20
  19.3000000   -3.8912286234e-04    7.6219569806e-20    6.6058630188e-04    1.6744268295e-19
  19.4000000   -4.4567140501e-04    8.8007720787e-20    6.1328736307e-04    3.5896617477e-20
  19.5000000   -4.9986472982e-04    9.5649068730e-20    5.6411414165e-04    3.1301739734e-20
  19.6000000   -5.5095213001e-04    1.3909052515e-19    5.1584927417e-04   -8.0553231061e-20
  19.7000000   -5.9824636450e-04    8.7908529798e-20    4.7083087388e-04    6.2894984741e-20
  19.8000000   -6.4113614216e-04    1.0200959477e-19    4.3088684498e-04    2.7386055810e-20
  19.9000000   -6.7909612141e-04    9.4905848308e-20    3.9729289098e-04   -3.7723697442e-20
  20.0000000   -7.1169497127e-04    9.2227478037e-20    3.7076150690e-04    2.4002659191e-20
  20.1000000   -7.3860264509e-04    1.1861254293e-19    3.5146432560e-04    1.0285411013e-20
  20.2000000   -7.5959294580e-04    1.3861321939e-19    3.3907766213e-04   -1.2337098805e-20
  20.3000000   -7.7454390266e-04    1.1683091630e-19    3.3284914393e-04   -3.6218188806e-21
  20.4000000   -7.8343684475e-04    1.2236206703e-19    3.3167942092e-04   -3.3628704714e-20
  20.5000000   -7.8635102203e-04    1.2109815904e-19    3.3421889843e-04   -4.7253478304e-21
  20.6000000   -7.8345548554e-04    1.4478097590e-19    3.3896431135e-04   -5.5648409551e-22
  20.7000000   -7.7499951406e-04    9.9126496858e-20    3.4435693025e-04    2.8419551229e-20
  20.8000000   -7.6130205367e-04    1.6554458651e-19    3.4887406522e-04    2.1120017688e-20
  20.9000000   -7.4273948398e-04    1.2307257650e-19    3.5110996384e-04   -1.9650367550e-20
  21.0000000   -7.1973310848e-04    9.9975041055e-20    3.4983925926e-04   -2.9490748436e-20
